11136_19	24286_78
6784_84	71626_43
69295_70	85775_66
50861_61	89478_39
95009_33	97203_9
1725_28	104360_53
69295_70	110645_54
85775_66	110645_54
69295_70	112999_36
69295_70	121100_31
85775_66	121100_31
110645_54	121100_31
112999_36	121100_31
51575_82	54636_69
51575_82	94725_85
85775_66	112999_36
60723_63	80957_12
24768_13	64146_11
25128_36	79297_61
110645_54	112999_36
37457_22	104178_39
44412_23	52733_28
32725_76	63903_38
4942_69	68424_74
11452_54	13765_80
1725_28	41297_58
77490_44	106956_33
54636_69	110606_47
54636_69	94725_85
55745_11	104237_58
11956_44	71823_54
8041_34	68649_18
42187_21	60723_63
57334_88	103717_61
94725_85	110606_47
15093_49	24768_13
69091_33	89720_53
52733_28	102623_37
16031_73	44841_85
63903_38	79801_28
56183_58	68200_66
27663_8	44841_85
25128_36	121100_31
15093_49	103717_61
20693_10	94557_51
50861_61	97838_71
8213_21	82130_54
54440_67	64146_11
49616_32	106956_33
8213_21	104178_39
16236_61	32068_67
64386_85	89720_53
37641_6	70877_79
